Country,Population,Net_Change,Density,Land_Area,Med_Age,Urban_Pop
Liechtenstein,38147,109,238,160,0,0.15
San Marino,33944,71,566,60,0,0.97
Gibraltar,33689,-10,3369,10,0,0.00
British Virgin Islands,30266,201,202,150,0,0.52
Caribbean Netherlands,26265,244,80,328,0,0.75
Palau,18109,86,39,460,0,0.00
Cook Islands,17567,16,73,240,0,0.75
Anguilla,15026,134,167,90,0,0.00
Tuvalu,11817,146,393,30,0,0.62
Wallis & Futuna,11203,-193,80,140,0,0.00
Nauru,10836,68,541,20,0,0.00
Saint Barthelemy,9882,30,470,21,0,0.00
Saint Helena,6080,18,16,390,0,0.27
Saint Pierre & Miquelon,5789,-28,25,230,0,1.00
Montserrat,4993,3,50,100,0,0.10
Falkland Islands,3497,103,0,12170,0,0.66
Niue,1628,11,6,260,0,0.46
Tokelau,1360,17,136,10,0,0.00
Holy See,801,2,2003,0,0,0.00
